MP4, , FrmNum,,,,FrmNumRatio(%),,, FrmSize(Byte),,,, FrmSizeRatio(%),,,  Compressed Ratio, , , , AvgSize(Byte),,,,MaxSize(Byte),,,MinSize(Byte),,,Bit Rate(kbps), , , , , , , , Frame PSNR(db), , , , , , , , , , Frame QP, , , , , , , , , ,
MP4, Filesize(MB), All,I,P,B, I, P, B, All, I, P, B, I, P, B,  Avg, I, P, B , Avg, I, P, B, I, P, B, I, P, B, avg, avgfps30, 1s, 2s, 3s, 4s, 5s, 6s, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB, Avg, I, P, B, MaxI, MaxP, MaxB, MinI, MinP, MinB
Android-MX6-GalaxyJ7-APPS-06-Douyin.mp4, .62, 147, 1, 102, 44, .68, 69.38, 29.93, 539748, 11833, 450726, 77189, 2.19, 83.50, 14.30, 211.77, 65.71, 175.97, 443.25, 3671.75, 11833.00, 4418.88, 1754.29, 11833, 8249, 3859, 11833, 2412, 414,639.87, 860.56, 3814.77, 1598.55, 881.40, 661.05, 774.21, 645.17, 43.06, 43.90, 42.99, 43.20, 43.90, 48.14, 44.98, 43.90, 40.72, 40.96,22.10, 22.00, 22.18, 21.93, 22.00, 24.00, 24.00, 22.00, 21.00, 17.00
Android-MX6-GalaxyJ7-APPS-06-MX6-Muse.mp4, 1.99, 222, 4, 218, 0, 1.80, 98.19, 0, 1949732, 128728, 1821004, 0, 6.60, 93.39, 0, 40.22, 10.97, 42.29, 0, 8782.57, 32182.00, 8353.22, 0, 36060, 15445, 0, 29129, 5569, 0,1646.73, 2058.41, 1721.08, 1638.23, 1526.01, 1578.01, 1632.70, 1626.01, 40.24, 43.07, 40.19, 0, 43.27, 41.38, 0, 42.86, 37.26, 0,23.07, 20.00, 23.13, 0, 20.00, 26.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-APPS-07-Douyin.mp4, 1.28, 262, 2, 125, 135, .76, 47.70, 51.52, 1134871, 57200, 813996, 263675, 5.04, 71.72, 23.23, 179.51, 27.18, 119.41, 398.12, 4331.56, 28600.00, 6511.96, 1953.14, 30415, 11414, 4462, 26785, 1606, 193,746.31, 1015.59, 970.50, 3655.16, 1953.48, 954.55, 908.74, 881.29, 42.96, 43.60, 42.92, 43.00, 44.86, 51.84, 53.29, 42.35, 39.49, 40.00,20.14, 18.50, 20.34, 19.97, 20.00, 23.00, 22.00, 17.00, 19.00, 14.00
Android-MX6-GalaxyJ7-APPS-07-Galaxy-Muse.mp4, 3.81, 380, 6, 374, 0, 1.57, 98.42, 0, 3761965, 218358, 3543607, 0, 5.80, 94.19, 0, 35.68, 9.70, 37.28, 0, 9899.90, 36393.00, 9474.88, 0, 44241, 15540, 0, 31923, 3501, 0,1856.62, 2321.51, 2403.15, 2101.30, 2051.81, 1951.16, 1910.28, 1846.92, 40.52, 43.23, 40.48, 0, 43.60, 42.14, 0, 42.77, 36.55, 0,22.71, 20.00, 22.76, 0, 20.00, 27.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-APPS-08-Douyin.mp4, 2.06, 231, 1, 95, 135, .43, 41.12, 58.44, 1976279, 84492, 1603985, 287802, 4.27, 81.16, 14.56, 90.89, 9.20, 46.05, 364.75, 8555.32, 84492.00, 16884.05, 2131.86, 84492, 24871, 6967, 84492, 6309, 121,1420.39, 2005.15, 10052.01, 7166.72, 1456.94, 2847.96, 1746.42, 1699.02, 38.26, 39.68, 37.86, 38.52, 39.68, 45.27, 42.48, 39.68, 26.04, 29.00,26.38, 23.00, 24.34, 27.85, 23.00, 34.00, 38.00, 23.00, 23.00, 22.00
Android-MX6-GalaxyJ7-APPS-08-MX6-Muse.mp4, 6.16, 347, 5, 342, 0, 1.44, 98.55, 0, 6336810, 255044, 6081766, 0, 4.02, 95.97, 0, 19.34, 6.92, 19.86, 0, 18261.70, 51008.80, 17782.94, 0, 104643, 24225, 0, 35137, 6938, 0,3426.04, 4282.55, 4154.16, 3704.71, 3592.88, 3569.48, 3460.35, 3473.14, 29.45, 31.12, 29.42, 0, 41.80, 32.82, 0, 27.68, 27.76, 0,32.38, 31.20, 32.40, 0, 35.00, 35.00, 0, 20.00, 30.00, 0
Android-MX6-GalaxyJ7-APPS-09-Douyin.mp4, 1.32, 100, 2, 48, 50, 2.00, 48.00, 50.00, 1246644, 165629, 901995, 179020, 13.28, 72.35, 14.36, 62.37, 9.38, 41.38, 217.18, 12466.44, 82814.50, 18791.56, 3580.40, 98143, 55714, 18638, 67486, 76, 22,1149.87, 2924.74, 2968.21, 1806.69, 2733.16, 1300.52, 1836.02, 1149.05, 40.68, 41.92, 40.78, 40.54, 43.08, 55.30, 56.30, 40.77, 31.46, 31.09,22.70, 19.50, 22.89, 22.64, 21.00, 27.00, 31.00, 18.00, 18.00, 11.00
Android-MX6-GalaxyJ7-APPS-09-Galaxy-Muse.mp4, 3.78, 327, 5, 322, 0, 1.52, 98.47, 0, 3749288, 191597, 3557691, 0, 5.11, 94.88, 0, 30.81, 9.21, 31.97, 0, 11465.71, 38319.40, 11048.72, 0, 67220, 21096, 0, 28054, 4184, 0,2150.61, 2687.27, 3087.12, 2630.13, 2289.00, 2242.38, 2279.88, 2306.55, 33.18, 34.28, 33.17, 0, 42.12, 36.89, 0, 30.02, 30.37, 0,29.46, 28.40, 29.48, 0, 33.00, 33.00, 0, 20.00, 25.00, 0
Android-MX6-GalaxyJ7-Douyin-Self-01-Galaxy.mp4, 1.27, 157, 1, 101, 55, .63, 64.33, 35.03, 1214909, 23802, 1011791, 179316, 1.95, 83.28, 14.75, 100.48, 32.66, 77.62, 238.50, 7738.27, 23802.00, 10017.73, 3260.29, 23802, 29468, 13908, 23802, 3987, 466,1357.86, 1814.81, 8265.68, 2242.49, 2303.85, 1393.90, 1650.28, 1377.61, 38.71, 39.37, 38.87, 38.41, 39.37, 42.83, 40.74, 39.37, 35.28, 35.74,25.70, 25.00, 24.83, 27.30, 25.00, 28.00, 31.00, 25.00, 23.00, 21.00
Android-MX6-GalaxyJ7-Douyin-Self-01-MX6.mp4, 1.64, 215, 1, 130, 84, .46, 60.46, 39.06, 1591487, 51030, 1351693, 188764, 3.20, 84.93, 11.86, 105.04, 15.23, 74.78, 346.03, 7402.26, 51030.00, 10397.63, 2247.19, 51030, 30902, 9347, 51030, 4097, 91,1644.64, 1736.52, 11593.00, 1843.99, 2742.65, 2087.60, 1674.10, 1651.34, 36.65, 38.76, 36.52, 36.82, 38.76, 41.52, 44.73, 38.76, 31.81, 32.21,27.13, 24.00, 26.05, 28.85, 24.00, 30.00, 34.00, 24.00, 24.00, 18.00
Android-MX6-GalaxyJ7-Douyin-Self-02-Galaxy.mp4, 1.04, 142, 1, 108, 33, .70, 76.05, 23.23, 990424, 40724, 869167, 80533, 4.11, 87.75, 8.13, 111.48, 19.09, 96.62, 318.63, 6974.81, 40724.00, 8047.84, 2440.39, 40724, 15150, 7423, 40724, 4336, 180,1250.03, 1635.87, 3932.67, 1271.84, 1310.89, 1256.54, 1305.87, 1268.34, 39.37, 40.28, 39.42, 39.17, 40.28, 42.50, 40.74, 40.28, 36.15, 36.64,25.16, 23.00, 24.79, 26.42, 23.00, 27.00, 28.00, 23.00, 23.00, 22.00
Android-MX6-GalaxyJ7-Douyin-Self-02-MX6.mp4, 1.28, 138, 1, 84, 53, .72, 60.86, 38.40, 1233058, 59614, 1038365, 135079, 4.83, 84.21, 10.95, 87.02, 13.04, 62.90, 305.10, 8935.20, 59614.00, 12361.48, 2548.66, 59614, 21668, 6522, 59614, 432, 58,1482.04, 2094.18, 4826.76, 1517.10, 3101.46, 1992.66, 1855.28, 1550.73, 37.55, 39.54, 37.66, 37.35, 39.54, 53.29, 43.53, 39.54, 32.70, 32.29,26.25, 23.00, 25.39, 27.67, 23.00, 28.00, 32.00, 23.00, 23.00, 14.00
Android-MX6-GalaxyJ7-Douyin-Self-03-Galaxy.mp4, 1.50, 178, 1, 96, 81, .56, 53.93, 45.50, 1414555, 44658, 1050947, 318950, 3.15, 74.29, 22.54, 97.84, 17.41, 71.03, 197.47, 7946.93, 44658.00, 10947.36, 3937.65, 44658, 18327, 11642, 44658, 5646, 203,1205.14, 1863.61, 10883.73, 908.21, 1293.30, 1211.83, 973.35, 1299.25, 39.66, 41.33, 39.32, 40.05, 41.33, 43.24, 43.02, 41.33, 35.70, 36.47,24.79, 22.00, 24.08, 25.67, 22.00, 27.00, 28.00, 22.00, 21.00, 22.00
Android-MX6-GalaxyJ7-Douyin-Self-03-MX6.mp4, 1.35, 129, 1, 55, 73, .77, 42.63, 56.58, 1282464, 73492, 930757, 278215, 5.73, 72.57, 21.69, 78.21, 10.58, 45.94, 204.03, 9941.58, 73492.00, 16922.85, 3811.16, 73492, 29643, 14325, 73492, 46, 23,1197.04, 2330.05, 8203.32, 2420.89, 2121.99, 1293.97, 1916.08, 1079.36, 38.48, 40.84, 38.05, 38.77, 40.84, 54.30, 47.60, 40.84, 32.26, 32.72,25.26, 22.00, 23.85, 26.36, 22.00, 27.00, 30.00, 22.00, 20.00, 13.00
Android-MX6-GalaxyJ7-Muse-Self-01-Galaxy.mp4, 2.71, 341, 5, 336, 0, 1.46, 98.53, 0, 2618038, 187739, 2430299, 0, 7.17, 92.82, 0, 46.01, 9.40, 48.84, 0, 7677.53, 37547.80, 7233.03, 0, 46535, 16073, 0, 27436, 1849, 0,1440.38, 1800.47, 1758.92, 1621.89, 1670.51, 1622.71, 1575.34, 1592.59, 41.52, 43.58, 41.48, 0, 44.87, 43.64, 0, 42.73, 36.56, 0,22.56, 19.80, 22.60, 0, 20.00, 27.00, 0, 19.00, 21.00, 0
Android-MX6-GalaxyJ7-Muse-Self-01-MX6.mp4, 3.41, 335, 5, 330, 0, 1.49, 98.50, 0, 3369090, 229180, 3139910, 0, 6.80, 93.19, 0, 35.12, 7.70, 37.12, 0, 10056.98, 45836.00, 9514.87, 0, 60095, 19917, 0, 35955, 3148, 0,1886.81, 2358.51, 2241.17, 1989.50, 2088.19, 2072.34, 2023.04, 2047.48, 39.77, 42.30, 39.74, 0, 42.75, 41.56, 0, 41.87, 35.83, 0,23.52, 20.60, 23.56, 0, 21.00, 27.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-Muse-Self-02-Galaxy.mp4, 3.26, 384, 6, 378, 0, 1.56, 98.43, 0, 3164937, 217694, 2947243, 0, 6.87, 93.12, 0, 42.86, 9.73, 45.31, 0, 8242.02, 36282.33, 7796.93, 0, 52910, 15942, 0, 22681, 2933, 0,1545.37, 1931.72, 1690.31, 1640.21, 1516.97, 1521.07, 1468.54, 1392.34, 41.31, 43.58, 41.27, 0, 44.64, 43.61, 0, 42.48, 37.39, 0,22.87, 20.00, 22.92, 0, 20.00, 26.00, 0, 20.00, 22.00, 0
Android-MX6-GalaxyJ7-Muse-Self-02-MX6.mp4, 3.87, 378, 6, 372, 0, 1.58, 98.41, 0, 3829371, 255704, 3573667, 0, 6.67, 93.32, 0, 34.87, 8.28, 36.77, 0, 10130.61, 42617.33, 9606.63, 0, 54789, 17309, 0, 30854, 3104, 0,1899.48, 2374.36, 2098.77, 2003.65, 1869.63, 1903.94, 1827.49, 1736.59, 39.56, 42.28, 39.52, 0, 43.77, 42.71, 0, 39.60, 32.35, 0,23.93, 20.83, 23.98, 0, 23.00, 32.00, 0, 20.00, 22.00, 0
